S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8180,Uttar Pradesh,Jaunpur,Leduka Bazar,82.5519,25.8833,2023,8.09,827,0,500,14,0.77,22,0,0.00,220,32,34,104,2,0.08,0.00,9.43
8181,Uttar Pradesh,Jaunpur,In Primise Of Block Office,82.4714,25.5617,2023,8.00,792,0,390,28,0.55,21,20,0.00,310,40,50,37,4,0.89,0.00,22.00
8182,Uttar Pradesh,Jaunpur,Dharampur,82.7475,25.7525,2023,8.65,628,24,262,21,0.46,20,7,0.00,260,12,55,21,5,0.52,0.00,34.00
8183,Uttar Pradesh,Jaunpur,Dobhi,82.9978,25.5939,2023,7.71,699,0,390,14,0.82,0,0,0.00,240,44,31,48,3,0.64,0.00,7.00
8184,Uttar Pradesh,Jaunpur,Jalalpur,82.7586,25.6081,2023,7.84,699,0,366,14,1.00,15,11,0.00,280,60,31,31,2,0.16,0.00,7.00
8185,Uttar Pradesh,Jaunpur,In Jaunpur City,82.6844,25.7447,2023,7.94,1775,0,378,255,0.80,156,40,0.00,580,56,106,128,4,1.83,0.00,12.00
8186,Uttar Pradesh,Jaunpur,Karanjhakalan,82.6886,25.8044,2023,8.25,1220,0,476,113,1.50,34,0,0.00,330,44,53,118,3,0.20,0.00,23.00
8187,Uttar Pradesh,Jaunpur,Kerakat,82.9197,25.6456,2023,7.90,804,0,366,57,0.70,13,10,0.00,280,48,38,55,3,0.00,0.00,10.00
8188,Uttar Pradesh,Jaunpur,Khutahan,82.5783,25.9800,2023,7.90,694,0,378,7,0.40,9,17,0.00,280,44,41,28,5,0.12,0.00,6.00
8189,Uttar Pradesh,Jaunpur,Block Office,82.2063,25.6461,2023,7.95,849,0,476,28,0.73,17,7,0.00,300,40,48,74,2,0.24,0.00,15.00
8190,Uttar Pradesh,Jaunpur,Block Office,82.3992,25.6682,2023,8.42,1343,60,476,78,1.04,135,0,0.00,210,24,36,243,1,0.09,0.00,30.00
8191,Uttar Pradesh,Jaunpur,Block Office,82.6142,25.6400,2023,8.00,794,0,403,21,0.90,20,18,0.00,310,32,55,38,4,0.26,0.00,32.00
8192,Uttar Pradesh,Jaunpur,Block Office,82.8286,25.6975,2023,8.07,730,0,415,14,0.34,0,0,0.00,230,32,36,59,3,0.32,0.00,6.00
8193,Uttar Pradesh,Jaunpur,Block Office,82.1887,25.6563,2023,7.64,1232,0,390,121,0.29,80,115,0.00,460,76,65,89,10,1.09,0.00,8.00
8194,Uttar Pradesh,Jaunpur,In Primise Of Block Office,82.6200,25.5553,2023,8.18,912,0,500,28,0.50,0,0,0.00,270,20,53,81,5,0.21,0.00,0.00
8195,Uttar Pradesh,Jaunpur,Dhanachu,82.7024,25.5077,2023,7.90,581,0,329,14,0.64,6,0,0.00,250,36,29,21,3,0.00,0.00,5.50
8196,Uttar Pradesh,Jaunpur,Rampur,82.5708,25.4903,2023,8.31,1162,12,561,35,1.10,39,0,0.00,160,20,26,188,5,0.11,0.00,31.00
8197,Uttar Pradesh,Jaunpur,Itwari Bazar,82.7104,25.8725,2023,7.93,287,0,134,14,0.92,21,0,0.00,140,52,12,5,2,0.00,0.00,4.94
8198,Uttar Pradesh,Jaunpur,Shahganj,82.6750,25.9661,2023,7.96,628,0,305,28,0.50,14,0,0.00,210,44,24,43,5,0.08,0.00,4.00
8199,Uttar Pradesh,Jaunpur,Baraipur,82.4278,25.7642,2023,7.91,661,0,366,35,1.02,5,5,0.00,270,40,41,38,3,0.00,0.00,6.80
8200,Uttar Pradesh,Jaunpur,Block Office,82.7278,25.6717,2023,8.05,1725,0,659,149,0.90,94,0,0.00,430,36,82,193,1,8.09,0.00,36.00
8201,Uttar Pradesh,Jaunpur,Arsiya,82.5752,26.1294,2023,8.04,671,0,390,14,0.60,13,5,0.00,220,52,31,64,4,0.11,0.00,12.37
8202,Uttar Pradesh,Jaunpur,In Primise Of Block Office,82.5008,26.1003,2023,7.96,600,0,342,7,0.54,11,0,0.00,230,40,31,29,4,0.51,0.00,10.00
8203,Uttar Pradesh,Jhansi,Block – Campus,78.4697,25.2339,2023,8.02,901,0,342,64,0.37,36,52,0.00,340,104,19,49,0,0.51,0.00,0.00
8204,Uttar Pradesh,Jhansi,Chattpur Bachauni,78.3592,25.4206,2023,7.43,613,0,207,35,0.63,34,85,0.00,270,92,10,27,0,0.61,0.00,0.00
8205,Uttar Pradesh,Jhansi,Ghesoli,78.4600,25.1656,2023,7.91,550,0,171,28,1.40,27,70,0.00,240,68,17,13,0,0.12,0.00,0.00
8206,Uttar Pradesh,Jhansi,Khailar,78.5350,25.3453,2023,7.32,386,0,49,35,0.22,37,45,0.00,140,24,19,14,2,0.13,0.00,0.00
8207,Uttar Pradesh,Jhansi,Mathurapora,78.4856,25.3547,2023,8.21,1900,0,512,184,0.54,115,155,0.00,490,136,36,110,170,0.22,1.18,7.30
8208,Uttar Pradesh,Jhansi,Pali Pahari,78.4931,25.4581,2023,7.79,830,0,305,85,0.57,43,28,0.00,320,76,31,57,0,1.44,0.00,6.62
8209,Uttar Pradesh,Jhansi,Sarvad,78.4114,25.3042,2023,7.60,498,0,305,14,0.49,11,0,0.00,250,52,29,19,2,0.16,0.00,4.01
8210,Uttar Pradesh,Jhansi,Bamanua,78.9769,25.5283,2023,7.78,1590,0,159,312,1.24,135,45,0.00,490,120,46,124,0,0.44,0.00,35.38
8211,Uttar Pradesh,Jhansi,Afarsua,79.0661,25.6117,2023,8.19,1372,0,378,99,2.31,165,30,0.00,190,32,26,220,1,0.73,0.00,13.71
8212,Uttar Pradesh,Jhansi,Bhadarwar,79.1692,25.7433,2023,8.14,981,0,403,64,0.55,28,32,0.00,390,120,22,44,2,1.08,0.00,5.82
8213,Uttar Pradesh,Jhansi,Block – Campus,79.1857,25.6131,2023,7.74,2390,0,403,411,0.38,200,105,0.00,700,44,142,240,0,0.76,0.00,24.00
8214,Uttar Pradesh,Jhansi,Domurai,79.3181,25.6264,2023,7.88,596,0,305,14,0.34,0,23,0.00,250,52,29,21,1,0.85,0.00,27.62
8215,Uttar Pradesh,Jhansi,Samserpura,79.0361,25.6881,2023,8.14,1201,0,549,50,1.92,18,40,0.00,400,36,74,85,0,0.90,0.00,14.47
8216,Uttar Pradesh,Jhansi,Tharo-Ii,79.3181,25.7553,2023,7.97,1000,0,512,28,1.88,24,0,0.00,220,40,29,116,0,0.85,0.00,27.62
8217,Uttar Pradesh,Jhansi,Banda,79.0558,25.1597,2023,7.94,625,0,268,28,1.52,18,30,0.00,200,64,10,50,0,1.07,0.00,3.39
8218,Uttar Pradesh,Jhansi,Block – Campus,79.0038,25.3116,2023,7.65,2110,0,134,454,0.28,170,105,0.00,820,244,50,104,0,0.26,0.00,15.00
8219,Uttar Pradesh,Jhansi,Ghanghri,78.9722,25.4403,2023,7.99,462,0,183,28,2.61,20,5,0.00,130,36,10,41,0,1.63,0.00,150.57
8220,Uttar Pradesh,Jhansi,Jawan,78.8553,25.3425,2023,8.16,743,0,354,43,1.64,15,10,0.00,220,36,31,73,1,0.36,0.00,9.79
8221,Uttar Pradesh,Jhansi,Kachnev,78.9761,25.2711,2023,8.02,1401,0,512,121,1.32,51,24,0.00,340,48,53,155,0,0.00,0.00,4.51
8222,Uttar Pradesh,Jhansi,Kanaura,78.8397,25.2469,2023,8.12,440,0,220,14,1.30,14,5,0.00,150,40,12,33,2,1.10,0.00,0.00
8223,Uttar Pradesh,Jhansi,Kanipur,79.0703,25.2681,2023,7.98,435,0,207,14,0.77,6,0,0.00,160,52,7,20,0,2.33,0.00,0.00
8224,Uttar Pradesh,Jhansi,Badal Pucha,78.6611,25.5214,2023,7.94,622,0,195,71,0.57,35,15,0.00,270,56,31,23,0,0.44,0.00,7.81
8225,Uttar Pradesh,Jhansi,Block – Campus,78.7001,25.4738,2023,8.15,1300,0,439,113,0.32,95,18,0.00,340,96,24,140,0,1.45,1.00,12.00
8226,Uttar Pradesh,Jhansi,Dhikoli,78.4536,25.4922,2023,8.03,520,0,195,28,0.48,18,17,0.00,190,52,14,23,0,0.36,0.00,5.03
8227,Uttar Pradesh,Jhansi,Igfri,78.5547,25.5272,2023,7.64,625,0,305,35,1.01,21,0,0.00,290,64,31,18,0,0.00,0.00,8.10
8228,Uttar Pradesh,Jhansi,Shakti Bhairu,78.8539,25.5147,2023,8.04,804,0,415,21,2.41,11,14,0.00,170,72,10,105,0,0.49,0.00,15.32
8229,Uttar Pradesh,Jhansi,Telheta Kalan,78.7444,25.4306,2023,7.84,1254,0,220,149,1.23,110,95,0.00,430,80,55,76,4,0.35,0.00,17.66
8230,Uttar Pradesh,Jhansi,Bakua Bujarg,78.8694,25.7114,2023,7.93,862,0,354,64,0.92,13,15,0.00,260,48,34,71,2,0.11,0.00,6.03
8231,Uttar Pradesh,Jhansi,Baral,78.8581,25.6122,2023,8.20,1354,0,695,43,1.45,8,6,0.00,390,16,84,120,2,0.46,0.00,13.89
8232,Uttar Pradesh,Jhansi,Block – Campus,78.8058,25.5711,2023,8.18,964,0,439,64,0.79,27,15,0.00,270,20,53,105,2,2.01,0.00,18.00
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8233,Uttar Pradesh,Jhansi,Kalyanpura,78.9411,25.6064,2023,8.14,899,0,464,35,2.09,8,12,0.00,190,20,34,125,0,2.46,0.00,9.37
8234,Uttar Pradesh,Jhansi,Vikas  Bhawan- Jhansi,78.5775,25.4436,2023,7.92,697,0,183,113,0.25,0,10,0.00,210,32,31,55,1,4.07,0.00,0.00
8235,Uttar Pradesh,Jhansi,Bhasneh,79.1592,25.5417,2023,8.02,1413,0,537,103,1.76,47,41,0.00,440,48,77,115,3,2.10,0.00,13.97
8236,Uttar Pradesh,Jhansi,Block – Campus,79.1857,25.6131,2023,7.75,2000,0,403,383,0.36,31,105,0.00,680,36,142,165,0,2.36,0.00,22.00
8237,Uttar Pradesh,Jhansi,Dadpura,79.0442,25.4258,2023,7.95,946,0,427,64,2.28,18,8,0.00,160,36,17,146,2,0.35,0.00,9.75
8238,Uttar Pradesh,Jhansi,Dugara,79.1528,25.4528,2023,7.87,1852,0,378,291,1.28,115,12,0.00,540,76,84,152,1,0.47,0.00,13.60
8239,Uttar Pradesh,Jhansi,Ghuraiya,79.0597,25.5464,2023,7.92,938,0,403,57,1.65,26,16,0.00,250,40,36,96,1,0.83,0.00,16.49
8240,Uttar Pradesh,Jhansi,Pura,79.3400,25.4958,2023,7.95,864,0,415,50,0.70,5,0,0.00,230,32,36,91,0,2.85,0.00,6.25
8241,Uttar Pradesh,Jhansi,Bamhauri,79.2258,25.3331,2023,7.74,910,0,268,113,1.16,40,50,0.00,380,76,46,42,0,1.44,0.00,4.08
8242,Uttar Pradesh,Jhansi,Block – Campus,79.1437,25.2554,2023,7.64,699,0,329,21,0.35,13,34,0.00,230,32,36,50,0,0.26,0.00,5.00
8243,Uttar Pradesh,Jhansi,Churaha,79.1853,25.1731,2023,7.96,572,0,85,99,1.22,40,21,0.00,220,64,14,27,0,1.13,0.00,0.00
8244,Uttar Pradesh,Jhansi,Dhaypur,79.2581,25.2414,2023,8.27,449,0,207,21,1.30,7,16,0.00,170,28,24,25,0,1.58,0.00,0.00
8245,Uttar Pradesh,Jhansi,Godwa,79.1514,25.3614,2023,7.89,1265,0,427,121,1.19,36,42,0.00,400,52,65,97,2,0.66,0.00,15.24
8246,Uttar Pradesh,Jhansi,Kadaura,79.2544,25.1722,2023,7.89,696,0,220,78,0.93,18,40,0.00,250,60,24,46,0,0.20,0.00,3.07
8247,Uttar Pradesh,Jhansi,Sinora,79.0758,25.3600,2023,7.69,1042,0,329,99,2.00,38,65,0.00,290,68,29,101,1,1.20,0.00,10.10
8248,Uttar Pradesh,Jhansi,Block – Campus,78.9523,25.7299,2023,7.97,1624,0,512,191,0.18,55,70,0.00,450,24,94,170,0,1.00,0.00,10.00
8249,Uttar Pradesh,Jhansi,Panarri,79.0233,25.7689,2023,8.37,1120,2,573,21,1.68,7,16,0.00,220,16,43,155,0,0.25,0.00,31.51
8250,Uttar Pradesh,Jhansi,Saiokhari,78.9156,25.8608,2023,8.20,727,0,390,21,1.21,5,11,0.00,240,40,34,60,2,0.76,0.00,4.39
8251,Uttar Pradesh,Kannauj,Block Office,79.5121,27.1443,2023,7.86,633,0,342,28,0.69,17,8,0.00,200,44,22,63,4,0.39,0.00,28.00
8252,Uttar Pradesh,Kannauj,Sikanderpur,79.6060,27.1399,2023,7.78,580,0,354,7,0.69,7,0,0.00,230,48,27,39,5,0.20,0.00,14.31
8253,Uttar Pradesh,Kannauj,Block Office,79.8654,27.1255,2023,7.75,488,0,268,21,0.46,15,0,0.00,160,52,7,44,3,0.07,0.00,29.00
8254,Uttar Pradesh,Kannauj,Baikpurwa,79.6108,26.8980,2023,7.92,562,0,354,7,1.10,9,0,0.00,180,32,24,59,2,0.80,0.00,37.49
8255,Uttar Pradesh,Kannauj,Block Office,79.3580,26.9177,2023,7.89,290,0,146,7,2.20,16,0,0.00,115,20,16,14,3,0.42,1.00,44.00
8256,Uttar Pradesh,Kannauj,Block Office,79.7775,27.1002,2023,7.72,772,0,488,7,0.59,10,0,0.00,250,44,34,77,4,0.48,0.00,23.00
8257,Uttar Pradesh,Kannauj,Block Office,79.9215,27.0338,2023,7.56,658,0,342,28,0.57,25,0,0.00,230,52,24,53,4,0.00,0.00,29.00
8258,Uttar Pradesh,Kannauj,Block Office,79.4949,26.9485,2023,8.04,546,0,293,14,0.58,31,0,0.00,190,44,19,45,11,0.09,0.00,26.00
8259,Uttar Pradesh,Kannauj,Saurikh,79.4809,27.0279,2023,7.82,775,0,378,28,0.71,36,31,0.00,270,48,36,70,5,0.40,0.00,35.20
8260,Uttar Pradesh,Kannauj,Block Office,79.6780,27.1233,2023,7.88,745,0,378,43,0.55,31,0,0.00,200,32,29,100,2,0.23,0.00,5.00
8261,Uttar Pradesh,Kannauj,Indergarh,79.6438,27.0497,2023,7.83,741,0,268,78,0.91,30,28,0.00,295,48,43,35,3,0.10,0.00,8.02
8262,Uttar Pradesh,Kannauj,Block Office,79.7891,26.9998,2023,7.81,556,0,268,28,0.61,6,31,0.00,220,52,22,27,4,0.00,0.00,39.00
8263,Uttar Pradesh,Kannauj,Liluiya,79.7348,26.9013,2023,7.68,495,0,268,7,0.57,50,0,0.00,250,48,32,10,4,0.75,0.00,24.32
8264,Uttar Pradesh,Kannauj,Thathiya,79.8913,26.9163,2023,8.17,888,0,537,7,6.60,17,0,0.00,40,8,5,206,1,0.00,0.00,0.00
8265,Uttar Pradesh,Kanpur Dehat,Barah,80.0124,26.3823,2023,7.99,893,0,451,57,0.78,31,8,0.00,320,44,51,77,7,0.18,0.00,18.16
8266,Uttar Pradesh,Kanpur Dehat,Hand Pump Infront Of Shri Ramleela,79.9563,26.3820,2023,8.19,1327,0,732,43,6.00,36,9,0.00,90,8,17,295,2,0.00,3.00,84.00
8267,Uttar Pradesh,Kanpur Dehat,Maatikishanpur,79.9645,26.3397,2023,7.63,882,0,403,57,0.21,44,0,0.00,280,60,32,85,9,0.00,0.00,6.92
8268,Uttar Pradesh,Kanpur Dehat,Mohammadpur,79.8977,26.3743,2023,8.12,1623,0,744,85,0.96,138,0,0.00,340,32,63,257,2,0.31,0.00,20.05
8269,Uttar Pradesh,Kanpur Dehat,Muktapur,79.9350,26.4254,2023,7.99,828,0,488,14,1.00,25,6,0.00,290,32,51,74,6,0.08,0.00,25.84
8270,Uttar Pradesh,Kanpur Dehat,Hand Pump Of Block Office Infront Of,79.7830,26.1938,2023,7.86,2002,0,415,184,0.48,98,396,0.00,791,132,112,90,6,0.00,1.00,15.00
8271,Uttar Pradesh,Kanpur Dehat,Sultanpur,79.8839,26.1675,2023,7.81,1185,0,439,106,0.45,18,122,0.00,430,68,63,81,4,0.00,0.00,10.84
8272,Uttar Pradesh,Kanpur Dehat,----Do----,79.7932,26.4175,2023,8.02,1555,0,708,85,0.77,105,20,0.00,330,48,51,240,4,0.00,0.00,22.00
8273,Uttar Pradesh,Kanpur Dehat,----Do----,79.7258,26.5540,2023,7.77,885,0,476,35,0.95,29,9,0.00,280,36,46,94,5,0.12,0.00,23.00
8274,Uttar Pradesh,Kanpur Dehat,Gaupur,79.7967,26.5996,2023,8.07,1080,0,427,106,0.35,34,23,0.00,270,24,51,138,7,0.55,0.00,51.21
8275,Uttar Pradesh,Kanpur Dehat,Parjanichowk,79.6752,26.5727,2023,8.00,850,0,488,21,1.00,17,0,0.00,180,28,27,128,8,0.00,1.05,18.95
8276,Uttar Pradesh,Kanpur Dehat,Block Office,80.0557,26.5302,2023,7.98,1256,0,476,163,0.30,18,18,0.00,200,36,27,220,2,0.00,0.00,16.00
8277,Uttar Pradesh,Kanpur Dehat,Matikapur,80.1563,26.5159,2023,7.95,2150,0,1196,78,4.50,45,13,0.00,200,24,34,455,4,0.00,1.36,170.93
8278,Uttar Pradesh,Kanpur Dehat,Block Office,79.9385,26.2705,2023,7.95,920,0,500,35,0.46,26,0,0.00,280,44,41,104,3,1.11,0.00,8.00
8279,Uttar Pradesh,Kanpur Dehat,Gissi,80.0132,26.2536,2023,7.65,866,0,451,28,0.60,36,17,0.00,330,60,44,66,3,0.40,0.00,11.05
8280,Uttar Pradesh,Kanpur Dehat,Behmai,79.5981,26.2701,2023,7.89,812,0,500,14,0.41,5,0,0.00,290,56,36,71,2,0.08,0.00,7.01
8281,Uttar Pradesh,Kanpur Dehat,Hand Pump Of Block Office,79.6877,26.3035,2023,7.77,726,0,390,28,0.45,17,25,0.00,300,48,44,43,4,0.00,0.00,13.00
8282,Uttar Pradesh,Kanpur Dehat,Pitampur,79.6015,26.3906,2023,8.08,1043,0,635,21,1.00,16,0,0.00,280,32,49,133,4,0.00,0.00,46.95
8283,Uttar Pradesh,Kanpur Dehat,----Do----,79.7839,26.6680,2023,7.88,1131,0,537,92,0.73,33,25,0.00,470,64,75,68,8,0.39,0.00,34.00
8284,Uttar Pradesh,Kanpur Dehat,Gadhewabahadurpur,79.8314,26.6576,2023,7.87,818,0,476,21,0.94,28,0,0.00,200,44,22,112,5,1.30,0.00,28.15
8285,Uttar Pradesh,Kanpur Dehat,Naharpur,79.7557,26.5895,2023,7.80,898,0,561,14,0.45,9,7,0.00,270,48,36,92,21,0.21,0.00,15.83
8286,Uttar Pradesh,Kanpur Dehat,Pal Nagar,79.7434,26.6658,2023,7.96,782,0,500,7,0.79,11,0,0.00,240,36,36,85,4,0.00,0.00,13.8S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
91,937,0,549,43,0.71,32,0,0.00,360,76,41,62,5,7.87,0.00,14.00
8290,Uttar Pradesh,Kanpur Nagar,H P Of Block Office Near Phc,80.2771,26.2126,2023,8.02,1150,0,573,57,0.93,41,14,0.00,280,36,46,158,2,0.00,0.00,17.00
8291,Uttar Pradesh,Kanpur Nagar,Tajpur,80.3164,26.1394,2023,8.04,698,0,415,14,0.14,10,7,0.00,320,60,41,29,3,0.61,0.00,12.03
8292,Uttar Pradesh,Kanpur Nagar,Block Office,80.2744,26.3243,2023,7.91,1127,0,415,113,0.36,41,31,0.00,490,72,75,43,7,0.00,0.00,11.00
8293,Uttar Pradesh,Kanpur Nagar,Araul,80.0252,26.9155,2023,7.84,643,0,354,35,0.28,8,7,0.00,320,64,39,11,4,0.00,0.00,16.33
8294,Uttar Pradesh,Kanpur Nagar,Block Office,80.0574,26.8446,2023,7.92,702,0,427,14,0.57,8,0,0.00,290,52,39,43,5,0.12,0.00,16.00
8295,Uttar Pradesh,Kanpur Nagar,Hand Pump Of Block Office Near,80.1918,26.6215,2023,8.10,810,0,500,14,0.37,6,0,0.00,260,40,39,82,6,0.00,0.00,21.00
8296,Uttar Pradesh,Kanpur Nagar,Baripal Road,80.1914,26.0112,2023,7.92,715,0,439,14,0.33,0,7,0.00,300,84,22,41,3,0.00,0.00,13.39
8297,Uttar Pradesh,Kanpur Nagar,Block Office,80.1554,26.1532,2023,7.97,1337,0,598,128,0.42,34,0,0.00,651,44,131,27,7,1.75,0.00,18.00
8298,Uttar Pradesh,Kanpur Nagar,Ghughuwa,80.0306,26.1481,2023,8.00,633,0,342,7,0.23,13,5,0.00,220,76,7,37,3,0.00,0.00,25.74
8299,Uttar Pradesh,Kanpur Nagar,Block Office,79.9760,26.7424,2023,7.79,650,0,305,14,2.50,45,0,0.00,180,36,22,69,6,0.00,1.00,28.00
8300,Uttar Pradesh,Kanpur Nagar,Gadaipur,79.8815,26.7815,2023,7.47,855,0,537,7,0.38,8,0,0.00,330,44,54,62,7,1.62,1.66,7.67
8301,Uttar Pradesh,Kanpur Nagar,Binaur,80.1669,26.3978,2023,7.66,460,0,305,7,0.00,6,0,0.00,225,54,22,19,3,0.00,1.27,19.23
8302,Uttar Pradesh,Kanpur Nagar,Block Office Near Quarters,80.2548,26.5042,2023,7.91,1037,0,512,57,0.67,36,0,0.00,330,36,58,103,6,1.11,1.00,6.00
8303,Uttar Pradesh,Kanpur Nagar,Hand Pump In The Premises Of,80.3508,26.4922,2023,7.52,1507,0,451,128,0.32,136,88,0.00,360,56,54,196,6,0.00,1.00,31.00
8304,Uttar Pradesh,Kanpur Nagar,Block Office,80.1952,26.2337,2023,7.99,1566,0,610,135,0.52,94,68,0.00,560,144,49,125,6,0.00,0.00,6.00
8305,Uttar Pradesh,Kanpur Nagar,Hand Pump At The Out Side Of Block,80.4878,26.2860,2023,9.06,885,0,476,35,1.10,18,13,0.00,290,36,49,90,4,0.07,0.00,8.00
8306,Uttar Pradesh,Kanpur Nagar,Block Office,80.1411,26.6865,2023,7.58,1380,0,354,199,0.71,88,20,0.00,460,72,68,109,8,1.26,2.00,7.00
8307,Uttar Pradesh,Kanpur Nagar,Taktauli,80.0417,26.6616,2023,7.85,2100,0,512,43,1.00,600,0,0.00,701,46,142,210,5,0.00,0.00,12.65
8308,Uttar Pradesh,Kasganj,Block Office,78.6561,27.8179,2023,7.94,2631,0,598,249,0.19,194,379,-,575,80,90,290,177,0.00,0.00,3.00
8309,Uttar Pradesh,Kasganj,Block Office,79.0017,27.6850,2023,8.20,480,0,238,14,0.50,19,0,-,150,60,0,33,4,2.44,0.00,9.00
8310,Uttar Pradesh,Kasganj,Block Office,78.8292,27.7901,2023,8.30,1483,36,488,142,0.53,89,17,-,320,76,31,220,12,0.05,0.00,5.00
8311,Uttar Pradesh,Kasganj,Block Office,78.8660,27.7076,2023,7.96,1355,0,256,178,0.80,105,143,-,460,104,48,87,6,0.19,0.00,7.00
8312,Uttar Pradesh,Kasganj,Block Office,78.7514,27.8891,2023,8.12,563,0,281,21,0.42,27,0,-,250,60,24,22,3,0.11,0.00,8.00
8313,Uttar Pradesh,Kasganj,Nagla Ulfat Chauraha,78.6137,27.9274,2023,7.91,890,0,482,36,0.86,32,10,-,205,36,28,116,6,0.23,0.00,30.29
8314,Uttar Pradesh,Kaushambi,Hisanpur Parsakhi,81.4272,25.6325,2023,8.15,584,0,329,21,0.85,5,7,0.00,220,48,24,27,24,0.08,0.00,3.42
8315,Uttar Pradesh,Kaushambi,Inside Block Office,81.3595,25.6953,2023,7.67,1437,0,220,128,0.52,100,300,0.00,510,104,60,93,7,0.15,0.00,7.00
8316,Uttar Pradesh,Kaushambi,Inside Block Office,81.5385,25.5550,2023,7.54,2245,0,500,255,0.28,45,400,0.00,1010,124,168,71,5,0.99,0.00,12.00
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8317,Uttar Pradesh,Kaushambi,Bohagara Sarai,81.5442,25.3781,2023,8.19,1149,0,659,21,3.00,30,17,0.00,210,32,31,190,0,0.08,0.00,21.86
8318,Uttar Pradesh,Kaushambi,Chanderi,81.3000,25.3944,2023,8.14,910,0,427,64,1.68,37,7,0.00,330,56,46,73,1,0.16,0.00,7.38
8319,Uttar Pradesh,Kushinagar,Block Office,84.1556,26.7847,2023,7.66,609,0,287,28,0.16,14,0,0.00,280,56,34,6,8,3.30,23.00,0.00
8320,Uttar Pradesh,Kushinagar,Block Office,84.0464,26.6825,2023,7.76,638,0,256,57,0.00,20,0,0.00,290,84,19,11,3,0.10,2.00,0.00
8321,Uttar Pradesh,Kushinagar,Block Office,83.8200,26.7700,2023,7.94,527,0,281,14,0.57,0,0,0.00,220,56,19,15,4,1.95,5.00,0.00
8322,Uttar Pradesh,Kushinagar,Lakshmipur Dhush,83.7194,26.7638,2023,7.64,744,0,232,78,0.16,32,40,0.00,260,60,26,46,4,0.24,0.00,5.33
8323,Uttar Pradesh,Kushinagar,Block Office,84.9139,26.7511,2023,8.08,315,0,183,7,0.22,13,0,0.00,150,48,7,9,3,0.09,9.00,0.00
8324,Uttar Pradesh,Kushinagar,Block Office,83.8811,27.1678,2023,7.99,597,0,293,14,0.00,29,0,0.00,270,64,26,6,9,2.29,0.00,0.00
8325,Uttar Pradesh,Kushinagar,Block Office,83.8688,27.0542,2023,8.16,1357,0,525,99,0.00,71,0,0.00,540,100,70,46,25,3.05,7.00,0.00
8326,Uttar Pradesh,Kushinagar,Block Office,84.2164,26.7244,2023,7.92,697,0,305,36,0.00,37,0,0.00,320,68,36,8,8,1.52,5.00,0.00
8327,Uttar Pradesh,Kushinagar,Habirpur,84.2810,26.6334,2023,7.87,603,0,281,36,0.17,16,0,0.00,240,48,29,23,6,7.70,1.35,0.00
8328,Uttar Pradesh,Kushinagar,Basdila Pandey,84.0132,26.7591,2023,7.94,459,0,244,14,0.00,0,0,0.00,210,52,19,7,4,1.83,0.00,0.00
8329,Uttar Pradesh,Kushinagar,Hiranai,84.0047,27.0080,2023,7.83,892,0,366,57,0.00,48,0,0.00,360,72,43,31,11,2.06,15.36,0.00
8330,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,80.6376,27.8830,2023,8.07,636,0,329,14,0.42,0,0,0.00,280,40,43,6,5,1.23,7.00,3.00
8331,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,80.6006,28.2700,2023,8.21,386,0,183,14,0.27,18,0,0.00,180,36,22,4,3,0.10,2.00,0.00
8332,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,81.0851,28.0015,2023,8.42,458,6,232,11,0.13,0,0,0.00,180,28,26,20,4,2.36,2.00,0.00
8333,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,80.4828,28.0696,2023,8.12,442,0,232,14,0.35,0,0,0.00,210,40,26,3,3,0.36,1.00,0.00
8334,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,81.2073,27.9076,2023,7.84,539,0,305,7,0.19,0,0,0.00,230,52,24,13,6,3.81,27.00,0.00
8335,Uttar Pradesh,Lakhimpur,In Compound Of Bdo Office,80.7686,27.9506,2023,8.15,654,0,281,50,0.33,16,0,0.00,280,40,43,17,6,0.13,3.00,8.00
